OvrcrsMp0Ww,Palestinians: What are the borders of the future Palestinian state?
9e0OFmdT9Ho,Palestinians: Do you think you are brainwashed?
rOW12bTZlW8,Palestinian: What song best represents Palestine?
S0X1ZrspXCU,Palestinians: How many have to die to free Palestine?
1QqGDnQfEA0,Palestinians: Would you speak to Transgender people in the gender they identify as?
jxkdbLCTZlk,Palestinians: If Muslims are one nation why are they indifferent to the Palestinian cause?
jrSrB1JRCx0,Palestinians: Is your beard for religious or fashion reasons?
MS8HBlRnqKM,Palestinians: Which conflicts are worse than Palestine?
_tVldbntLug,Palestinians: Do you have any doubts about the Quran?
1VZTd_UEr3w,Palestinians: Are people answering my questions honestly?
