,Unnamed: 0,text,label,predicted
38,298,"israel has long cultivated christian zionism among american evangelicals . before the neocons , it was their strongest outpost on the right .",0,1
40,194,"i know most of you are battered and have been laying low for the past couple of months . the democrats stole the election and now they 're backstabbing our closest ally israel . we should defend jerusalem . the democrats are nazis . these antisemitic shills thus remain silent on this issue anon.do n't worry anon trump saw this coming . he 's preparing to launch martial law within weeks . trump will become president again and will defend israel.right now even as i speak , the military is taking control of dc . trump is soon going to reveal all major evidences of voter fraud . he is gearing up and preparing to pull the greatest upset in history . he 's preparing to unleash the trump card . everything that was in the shadows will be revealed . we are qtrust the plan",0,1
46,2425,"also stop using that vpn shit because you ’ re definitely not american.i 've had kin on this land since you filthy foreigner . my family sailed here , built here , fought , here , and died here.especially since we will happily kill you degenerates as needed.you are the degenerate . hey . you want to know something that ’ s fun to do that i can do any time i want ? drawing that little girl fucker mohammed giving a pig a rim job . also funny is when people use the koran as toilet paper and you all whine about it like we ’ re supposed to give a fuck.np one with self-respect speaks like this you filthy degenerate gutter trash",0,1
51,2111,all western women who ride muslim dick support palestina from what i 've seen . lmao . fuck the west and i ca n't wait for israel to level those sandniggers,0,1
56,1359,trust the expertsexperts say this is dangerous and needs to be pullednot those experts racist chud,0,1
61,612,just give the green area to israel and stop fighting already .,0,1
90,321,"you 're more of a nazi than just about anyone , faggot .",0,1
95,416,very true anon . the democrats stole the election and now they 're backstabbing our closest ally israel . we should defend jerusalem . the democrats are nazis anon . these antisemitic shills thus remain silent on this issue anon.do n't worry anon trump saw this coming . he 's preparing to launch martial law within weeks . trump will become president again and will defend israel.we are qtrust the plan,0,1
118,1272,christianity is a jewish religion,0,1
147,2372,the reason they are destroyed is because of muslimsfify . also stop using that vpn shit because you ’ re definitely not american . especially since we will happily kill you degenerates as needed . hey . you want to know something that ’ s fun to do that i can do any time i want ? drawing that little girl fucker mohammed giving a pig a rim job . also funny is when people use the koran as toilet paper and you all whine about it like we ’ re supposed to give a fuck .,0,1
152,978,"be jew in americafall in love with your country 's past timethrow a perfect game , one of seven in the national league 's history of over yearsnever cheat or use steroidsbe down to earth , sign autographs for anyone who wants oneget arthritis at years old , having your career cut short by years or moresee your records surpassed by people who were n't half as good as you but beat you because their health did n't randomly deteriorate , leading them to have more longevitycongratulate them in sincerity and never be bitter about it .",0,1
170,2873,"fuck . now wonder shit has gotten out of hand , no one ever held them accountable .",0,1
176,2243,jews did nothing wrong,0,1
214,798,"we are n't jidf we just notice that it pisses you off when we support israel .... so we support israel , it 's really that simple , now fuck off you retarded dog sucking cunt",0,1
222,783,arabs are in trouble . israel is playing on easy mode . they want them to get cocky so they can expand their occupation . just wait and see.happens every single time . the jew always wins .,0,1
226,139,kek what ? i remember the video was short and i think the idf soldier was a woman . i remember the video wasnt that clear but it made me kek,0,1
252,175,"anyone in these threads that does n't side with israeli is iranian intelligence . the 'not my problem ' and `` who cares '' replies are either communistic shills or moronic wignats that need to shut the fuck up . direct public support for israel is in the interests of whites and there is no downside . there is no outcome where whites benefit from wiping out israel . as israel grows stronger , the west becomes stronger . this is a direct correlation . all the refugees will be sent to europe by iran , and the european governments run by communists will take them in . then the communists teach these refugees hatred of whites and blames israel for what iran does . israeli are n't allowed to live peacefully because religious arab fanatics wo n't let them . a one-state solution with all arabs removed is the best outcome for both whites and jews alike . palestinians and other refugees will go to arab countries , israel will gain influence and power , whereas the communists in europe will continue to spend time trying to subvert israel instead of whites.pro-israel and anti-palestine is in the defacto interests of whites , and no communist can argue differently . do n't give in to their covertly communistic rhetoric . israelis are being genocided and it 's morally imperative for them to fight back , and it is in white interests for them to do so . a strong israel is in white interests .",0,1
264,598,the jews only strike back when hamas lobs missles at them . should they not defend themselves ? nb but the iron dome protects them,0,1
284,998,this.salk was a fraud just like all other serpent seed academics .,0,1
302,73,"the time travel interpretation of the bible describe the biblical work of ages as a time travel program for saving humanity from extinction . god 's existence is proven as a consequence of the existence of time travel , which is supposed . we present the case that abraham 's grandson jacob , also called israel , is satan . we make the case that the israelites are described as god 's chosen people in the bible despite their identity as the children of satan because god 's messiah is descended from abraham through satan . they are chosen as the ancestors of the messiah rather than as satan 's children . we propose an interpretation in which god commanded abraham to kill his son isaac to prevent isaac from becoming the father of satan . we suggest that god stayed abraham 's hand above isaac because preventing the existence of satan would also prevent the existence of satan 's descendant the messiah . the history of the israelites is summarized through jesus and paul . this paper is written so that the number of believers in the world will increase .",0,1
303,1536,"maybe , though i have my loving opinions on christ and his rejection of jewish law . i think it has to be this way , but we will face that when he returns . for now we all have a political shitstorm to deal with .",0,1
354,2706,lol,0,1
361,2366,fucking metal,0,1
362,1882,maybe do n't fire rockets at israel,0,1
385,2404,"i directly support any country btfoing sandniggers . now , blaspheme muhamed if you 're not a cryptomuzzie",0,1
422,1307,"because israelis are foreign invaders who kicked out the native population ( palestinians ) all those arab countries consider palestine and palestinians ( also arab ) their brothers and sisters and thought that the forced eviction of , palestinians just to create a country for a people from foreign countries is retarded and it very much upset them.fucking poo faggot , you 're people are literally slaves in the gulf countries you know that right . god damn i hate indians . israelis more but indians a close second .",0,1
436,1273,"if you choose to side with the muslims because of your hate for israel , then you are a race traitor that has fallen for propaganda that aims to take advantage of your emotionally guided thinking .",0,1
458,420,`` people '' who support palestine : - blm- university students- potheads- ethnic `` minorities '' - moslems - every left wing organisation - latuff- tranniespeople who support israel : - accomplished businessmen - straight white males in full employment- conservatives - veterans - leos which side are you on ?,0,1
471,2089,so long as my countrymen support israel its safe . plain and simple,0,1
480,2453,ok fucking source on this pic plx,0,1
506,2411,nope you 're thinking of epstein .,0,1
530,2031,gaza will be flattened . those who go against israel will perish,0,1
546,351,"it 's a known fact that there were a few individual jews that hitler liked . his family doctor , and his commanding officer from wwi among them .",0,1
549,979,"i really ca n't understand the hatred of jews here , all the ones that mattered and gained any degree of name recognition seem like absolute stand-up chads",0,1
574,2233,jews are israelites .,0,1
580,283,"genesis : i will bless those who bless you , and whoever curses you i will curse ; and all peoples on earth will be blessed through you . `` yahweh is speaking to the hebrews here.so , this is simple . either the jews are isreal and hebrews or they are not .",0,1
